New constituency name,Total population,Number of households,,Aged 15 years and under,Aged 16 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 years and over,,United Kingdom,Ireland,Other Europe,Africa,Middle East and Asia,Americas and the Caribbean,Australasia and others,,White British,Other White,Asian / Asian British,Black / Black British,Mixed / Multiple ethnic groups,Other ethnic groups,,No religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,Not answered,,Owned outright,Owned with a mortgage or loan,Private rented,Social rented,Other tenure
Bridlington and The Wolds,"92,600","42,300",,15.0%,7.5%,9.5%,15.1%,22.8%,30.0%,,96.4%,0.3%,1.9%,0.4%,0.7%,0.3%,0.1%,,96.2%,1.9%,0.7%,0.2%,0.8%,0.3%,,38.5%,54.0%,0.3%,0.1%,0.1%,0.5%,0.0%,0.5%,6.1%,,44.1%,24.3%,21.0%,10.1%,0.6%
Brigg and Immingham,"90,900","39,900",,16.5%,8.0%,10.5%,17.1%,23.1%,24.8%,,95.6%,0.2%,2.3%,0.5%,1.1%,0.2%,0.1%,,95.0%,2.2%,1.3%,0.3%,0.8%,0.4%,,39.6%,52.9%,0.2%,0.3%,0.0%,0.7%,0.1%,0.3%,5.7%,,42.5%,33.2%,14.2%,9.5%,0.5%
Brighton Kemptown and Peacehaven,"95,400","41,400",,15.0%,15.0%,13.1%,18.9%,20.1%,18.0%,,83.0%,0.7%,7.4%,2.8%,4.2%,1.5%,0.4%,,77.6%,9.1%,4.7%,2.2%,4.0%,2.5%,,51.4%,35.8%,0.8%,0.8%,0.4%,2.9%,0.1%,1.0%,6.8%,,28.8%,23.2%,25.2%,21.5%,1.2%
Brighton Pavilion,"103,000","43,800",,13.9%,20.5%,15.6%,20.7%,17.9%,11.6%,,80.1%,0.7%,9.3%,2.4%,4.7%,2.1%,0.7%,,73.1%,12.2%,4.9%,2.0%,5.2%,2.6%,,60.0%,26.1%,1.0%,0.7%,0.7%,2.5%,0.2%,1.1%,7.8%,,24.3%,27.6%,35.7%,11.3%,1.0%
Bristol Central,"93,700","38,200",,10.4%,30.0%,23.6%,16.1%,11.7%,8.2%,,75.7%,0.6%,9.1%,3.6%,7.1%,3.2%,0.7%,,66.2%,11.9%,8.1%,5.7%,5.3%,2.6%,,58.0%,23.9%,0.9%,1.0%,0.6%,6.1%,0.3%,1.0%,8.0%,,19.1%,20.8%,47.0%,12.0%,1.1%
Bristol East,"110,000","45,600",,19.1%,10.5%,19.1%,22.8%,15.9%,12.6%,,80.0%,0.4%,8.3%,4.6%,4.3%,2.1%,0.3%,,67.4%,9.1%,6.7%,9.8%,4.8%,2.1%,,47.9%,31.9%,0.5%,0.6%,0.1%,11.0%,0.6%,0.8%,6.6%,,24.5%,31.6%,23.7%,19.2%,1.0%
Bristol North East,"98,700","40,000",,18.9%,11.9%,16.1%,20.9%,16.8%,15.4%,,83.0%,0.3%,7.1%,2.9%,4.9%,1.6%,0.2%,,71.4%,7.4%,8.5%,6.3%,4.5%,1.9%,,45.9%,36.2%,0.6%,0.6%,0.1%,8.3%,1.0%,0.7%,6.6%,,28.6%,31.8%,20.4%,18.0%,1.2%
Bristol North West,"109,000","42,600",,19.4%,13.5%,14.0%,20.5%,16.4%,16.2%,,83.0%,0.6%,8.1%,2.4%,4.2%,1.4%,0.4%,,76.0%,9.6%,5.5%,3.4%,3.9%,1.6%,,47.7%,39.3%,0.5%,0.8%,0.3%,3.6%,0.4%,0.6%,6.8%,,31.1%,30.4%,18.2%,19.5%,0.8%
Bristol South,"104,000","43,500",,19.4%,10.2%,20.0%,20.8%,16.0%,13.7%,,87.4%,0.5%,6.6%,1.6%,2.4%,1.1%,0.3%,,82.4%,7.7%,3.0%,2.6%,3.3%,1.0%,,57.3%,32.3%,0.4%,0.5%,0.1%,2.6%,0.1%,0.6%,6.1%,,25.1%,30.7%,19.8%,23.1%,1.5%
Broadland and Fakenham,"93,300","40,800",,16.1%,8.1%,9.8%,17.2%,22.2%,26.6%,,95.3%,0.3%,2.1%,0.8%,0.9%,0.4%,0.2%,,95.0%,2.3%,0.9%,0.3%,1.2%,0.3%,,43.2%,49.4%,0.3%,0.2%,0.1%,0.3%,0.1%,0.5%,6.1%,,45.2%,29.1%,13.8%,10.9%,1.0%
Bromley and Biggin Hill,"97,600","39,300",,19.8%,8.6%,12.2%,22.0%,19.7%,17.7%,,80.6%,0.9%,7.0%,3.3%,5.6%,2.2%,0.5%,,68.5%,9.7%,8.1%,6.1%,5.3%,2.3%,,37.5%,48.6%,0.6%,2.7%,0.2%,3.0%,0.3%,0.5%,6.6%,,34.1%,38.1%,17.6%,9.4%,0.8%
Bromsgrove,"99,200","41,300",,18.2%,8.5%,10.4%,18.6%,21.4%,22.9%,,95.2%,0.5%,1.5%,0.7%,1.5%,0.4%,0.1%,,90.4%,2.7%,3.2%,0.8%,2.4%,0.5%,,37.5%,53.5%,0.3%,0.7%,0.1%,0.9%,1.2%,0.4%,5.6%,,42.4%,35.1%,10.6%,10.7%,1.1%
Broxbourne,"108,000","43,600",,19.7%,9.7%,13.0%,20.3%,19.7%,17.6%,,83.0%,0.8%,10.1%,2.8%,1.9%,1.2%,0.2%,,70.3%,12.0%,3.5%,6.1%,3.9%,4.2%,,33.6%,52.9%,0.5%,1.1%,0.4%,4.0%,0.2%,1.5%,6.0%,,33.3%,35.4%,16.0%,14.2%,1.1%
Broxtowe,"94,500","41,400",,16.5%,10.1%,13.5%,18.2%,20.0%,21.7%,,89.3%,0.3%,4.2%,1.4%,3.8%,0.8%,0.2%,,84.3%,4.7%,5.4%,1.6%,2.6%,1.3%,,47.2%,41.8%,0.4%,1.0%,0.1%,2.3%,0.8%,0.5%,5.8%,,39.5%,30.7%,17.9%,11.4%,0.5%
Buckingham and Bletchley,"106,000","41,500",,21.1%,9.7%,12.3%,20.6%,19.4%,16.9%,,81.8%,0.7%,6.4%,4.4%,5.1%,1.2%,0.3%,,72.8%,7.4%,8.6%,6.5%,3.4%,1.3%,,38.2%,47.0%,0.4%,2.8%,0.2%,5.0%,0.5%,0.4%,5.6%,,30.8%,33.6%,16.4%,15.7%,3.5%
Burnley,"110,000","45,200",,20.9%,10.1%,13.5%,18.8%,18.9%,17.8%,,85.7%,0.4%,5.0%,0.4%,8.2%,0.2%,0.1%,,73.3%,4.4%,19.6%,0.3%,1.6%,0.8%,,29.3%,45.6%,0.2%,0.2%,0.0%,18.8%,0.1%,0.4%,5.4%,,33.8%,27.3%,23.8%,14.7%,0.3%
Burton and Uttoxeter,"113,000","46,400",,19.2%,9.7%,14.3%,19.2%,19.9%,17.8%,,85.0%,0.3%,8.7%,0.8%,4.7%,0.4%,0.1%,,76.5%,8.7%,10.1%,1.2%,2.3%,1.1%,,34.1%,49.3%,0.3%,0.3%,0.0%,9.5%,0.3%,0.4%,5.7%,,34.9%,30.3%,20.3%,13.8%,0.8%
Bury North,"103,000","43,200",,19.4%,9.5%,12.2%,19.2%,20.3%,19.4%,,88.1%,0.5%,3.2%,1.4%,6.2%,0.4%,0.1%,,78.8%,3.5%,12.6%,1.7%,2.2%,1.3%,,29.5%,52.1%,0.2%,0.4%,0.6%,12.3%,0.1%,0.3%,4.6%,,35.8%,31.7%,17.0%,15.0%,0.5%
Bury South,"107,000","42,800",,22.4%,10.0%,13.6%,19.7%,18.1%,16.2%,,85.5%,0.9%,4.8%,2.0%,5.8%,0.8%,0.1%,,75.7%,7.3%,8.3%,2.6%,3.0%,3.2%,,27.0%,42.1%,0.3%,0.5%,15.8%,7.4%,0.5%,0.3%,6.1%,,31.6%,32.2%,20.1%,15.7%,0.5%
Bury St Edmunds and Stowmarket,"102,000","45,200",,16.8%,9.0%,12.7%,17.8%,20.4%,23.2%,,89.9%,0.4%,4.2%,1.0%,1.8%,2.5%,0.3%,,89.4%,5.4%,1.9%,0.8%,1.9%,0.7%,,43.9%,48.1%,0.5%,0.3%,0.1%,0.5%,0.0%,0.5%,6.2%,,37.8%,27.8%,18.2%,15.0%,1.2%
Caerfyrddin,"93,900","41,000",,16.4%,8.6%,10.2%,16.5%,22.4%,25.9%,,95.2%,0.3%,2.3%,0.6%,1.1%,0.3%,0.2%,,94.5%,2.7%,1.1%,0.3%,0.9%,0.4%,,42.0%,49.6%,0.3%,0.3%,0.1%,0.6%,0.1%,0.7%,6.4%,,46.6%,25.1%,15.1%,12.9%,0.4%
Caerphilly,"96,400","41,400",,18.8%,9.4%,12.6%,19.1%,20.3%,19.8%,,96.8%,0.2%,1.6%,0.3%,0.8%,0.2%,0.1%,,95.9%,1.6%,1.0%,0.1%,1.1%,0.2%,,56.0%,37.0%,0.2%,0.2%,0.0%,0.3%,0.1%,0.4%,5.7%,,35.7%,33.2%,12.9%,17.9%,0.3%
Calder Valley,"99,000","44,900",,17.7%,8.5%,10.8%,18.9%,23.1%,21.0%,,95.6%,0.5%,1.7%,0.5%,1.2%,0.4%,0.1%,,92.2%,2.7%,2.3%,0.5%,1.9%,0.4%,,46.6%,44.7%,0.4%,0.2%,0.1%,1.8%,0.2%,0.6%,5.5%,,37.5%,31.5%,18.2%,12.2%,0.6%
Camborne and Redruth,"99,100","42,700",,17.7%,9.3%,11.5%,18.0%,20.7%,23.0%,,95.0%,0.2%,2.7%,0.6%,0.7%,0.5%,0.3%,,93.5%,3.4%,0.6%,0.2%,1.2%,1.2%,,49.0%,42.5%,0.3%,0.1%,0.1%,0.2%,0.0%,0.7%,7.1%,,39.6%,26.0%,19.0%,13.7%,1.6%
Cambridge,"124,000","44,600",,14.0%,21.9%,21.1%,18.9%,13.1%,11.0%,,61.8%,0.8%,18.1%,2.5%,11.5%,4.5%,0.9%,,52.8%,22.6%,13.9%,2.5%,5.2%,3.1%,,45.6%,34.5%,1.1%,2.0%,0.8%,5.0%,0.2%,0.8%,10.0%,,23.6%,18.7%,33.0%,22.8%,2.0%
Cannock Chase,"101,000","43,500",,17.9%,9.2%,13.7%,18.4%,21.3%,19.4%,,96.4%,0.2%,2.0%,0.3%,0.8%,0.2%,0.1%,,94.5%,2.1%,1.2%,0.5%,1.4%,0.3%,,41.1%,52.4%,0.2%,0.2%,0.0%,0.3%,0.4%,0.4%,4.9%,,33.9%,33.2%,15.8%,16.2%,0.9%
Canterbury,"107,000","42,300",,15.1%,20.6%,11.1%,15.9%,17.4%,19.8%,,84.0%,0.6%,7.2%,2.4%,4.2%,1.3%,0.4%,,78.0%,8.4%,5.0%,3.4%,3.3%,1.9%,,42.0%,45.1%,0.7%,1.0%,0.2%,2.4%,0.2%,0.8%,7.6%,,36.3%,24.4%,24.2%,14.1%,0.9%
Cardiff East,"108,000","43,200",,19.2%,16.4%,15.7%,18.6%,15.9%,14.3%,,81.6%,0.4%,5.7%,3.3%,8.1%,0.8%,0.2%,,71.0%,6.4%,10.4%,4.1%,4.3%,3.9%,,42.2%,38.4%,0.5%,1.4%,0.3%,9.8%,0.4%,0.6%,6.5%,,27.0%,27.8%,24.9%,19.7%,0.6%
Cardiff North,"93,900","38,700",,17.9%,12.3%,12.5%,19.2%,19.3%,18.8%,,89.9%,0.5%,2.8%,1.5%,4.5%,0.6%,0.2%,,84.2%,3.5%,5.8%,1.3%,3.0%,2.0%,,42.9%,44.7%,0.4%,1.1%,0.2%,4.1%,0.2%,0.5%,5.8%,,38.2%,35.6%,15.3%,10.3%,0.6%
Cardiff South and Penarth,"106,000","42,900",,15.3%,23.0%,16.9%,17.2%,14.2%,13.3%,,79.5%,0.4%,6.2%,3.8%,8.6%,1.1%,0.2%,,68.7%,6.8%,11.1%,5.2%,4.0%,4.1%,,43.4%,34.1%,0.5%,2.0%,0.2%,12.1%,0.4%,0.7%,6.8%,,25.6%,25.9%,33.2%,14.7%,0.5%
Cardiff West,"103,000","43,600",,20.4%,10.1%,14.1%,20.1%,18.9%,16.3%,,88.3%,0.5%,3.7%,2.1%,4.5%,0.7%,0.3%,,79.5%,4.4%,7.6%,2.9%,3.8%,1.7%,,44.5%,40.5%,0.4%,1.0%,0.1%,6.7%,0.5%,0.4%,5.8%,,31.0%,31.4%,17.9%,19.1%,0.5%
Carlisle,"103,000","47,500",,17.0%,9.5%,12.7%,18.1%,21.5%,21.3%,,93.1%,0.3%,4.0%,0.7%,1.4%,0.4%,0.1%,,92.4%,4.3%,1.5%,0.3%,0.9%,0.6%,,39.6%,52.7%,0.3%,0.3%,0.0%,0.8%,0.0%,0.4%,5.7%,,37.5%,28.8%,17.9%,14.9%,0.9%
Carshalton and Wallington,"105,000","40,600",,21.4%,9.4%,12.8%,23.0%,19.0%,14.3%,,75.2%,0.8%,7.6%,4.4%,10.0%,1.7%,0.3%,,59.2%,9.4%,15.9%,7.4%,5.0%,3.0%,,33.8%,45.9%,0.8%,6.4%,0.2%,6.3%,0.2%,0.6%,5.8%,,26.5%,37.1%,15.8%,19.3%,1.3%
Castle Point,"91,500","38,100",,16.9%,9.1%,10.9%,17.0%,20.8%,25.2%,,95.2%,0.5%,1.7%,1.0%,1.2%,0.3%,0.1%,,92.5%,2.3%,1.7%,1.4%,1.6%,0.5%,,43.4%,48.7%,0.3%,0.5%,0.7%,0.8%,0.1%,0.4%,5.2%,,45.4%,34.8%,14.0%,5.4%,0.4%
Central Devon,"93,200","40,800",,16.5%,7.8%,9.4%,16.8%,23.0%,26.4%,,94.3%,0.3%,2.5%,1.1%,1.0%,0.6%,0.3%,,94.6%,3.2%,0.6%,0.2%,1.2%,0.3%,,44.1%,47.8%,0.4%,0.1%,0.1%,0.2%,0.0%,0.8%,6.5%,,44.3%,26.9%,18.0%,9.9%,1.0%
Central Suffolk and North Ipswich,"94,200","39,500",,17.5%,9.1%,10.8%,17.6%,21.5%,23.4%,,92.2%,0.2%,3.4%,1.0%,1.8%,1.1%,0.2%,,89.4%,3.9%,2.2%,1.2%,2.5%,0.8%,,43.8%,47.4%,0.4%,0.5%,0.1%,1.3%,0.2%,0.4%,6.0%,,42.4%,31.1%,13.8%,12.1%,0.7%
Ceredigion Preseli,"93,800","40,900",,14.5%,13.1%,9.8%,14.3%,21.8%,26.6%,,93.6%,0.4%,3.1%,0.7%,1.3%,0.6%,0.2%,,92.8%,3.9%,1.3%,0.4%,1.1%,0.4%,,43.0%,47.1%,0.5%,0.2%,0.1%,0.6%,0.0%,1.0%,7.5%,,49.2%,20.7%,19.3%,10.4%,0.3%
Chatham and Aylesford,"106,000","42,300",,21.2%,9.6%,14.0%,20.1%,19.1%,15.9%,,87.0%,0.5%,5.8%,3.0%,2.8%,0.7%,0.2%,,79.5%,6.3%,5.1%,5.2%,2.6%,1.4%,,43.6%,45.3%,0.3%,0.9%,0.1%,2.5%,1.6%,0.5%,5.3%,,29.7%,35.7%,17.8%,15.2%,1.6%
Cheadle,"95,500","39,100",,19.0%,8.0%,10.2%,20.0%,20.2%,22.5%,,88.9%,0.7%,2.1%,1.2%,6.4%,0.6%,0.2%,,79.1%,3.6%,11.6%,0.8%,2.6%,2.3%,,33.9%,48.7%,0.4%,1.4%,1.0%,8.7%,0.3%,0.5%,5.1%,,43.7%,38.0%,11.0%,6.5%,0.8%
Chelmsford,"107,000","45,100",,19.0%,9.6%,14.7%,21.5%,18.3%,17.0%,,84.8%,0.6%,5.7%,2.6%,5.0%,0.9%,0.3%,,78.3%,6.9%,7.2%,3.4%,3.1%,1.2%,,41.8%,45.7%,0.6%,2.3%,0.2%,2.8%,0.2%,0.5%,5.9%,,31.9%,33.4%,18.5%,14.8%,1.3%
Chelsea and Fulham,"120,000","54,400",,14.8%,12.6%,22.1%,21.1%,17.0%,12.4%,,53.5%,1.5%,20.5%,5.8%,9.5%,7.2%,2.0%,,42.0%,28.4%,9.2%,7.9%,6.1%,6.4%,,28.8%,50.2%,0.8%,1.2%,1.0%,8.7%,0.2%,0.6%,8.6%,,18.6%,17.1%,38.1%,25.0%,1.2%
Cheltenham,"100,000","44,800",,17.0%,11.6%,14.0%,19.5%,19.1%,18.9%,,85.4%,0.6%,6.9%,1.7%,3.5%,1.4%,0.5%,,83.2%,8.0%,4.1%,1.0%,2.5%,1.1%,,44.9%,45.0%,0.5%,1.0%,0.2%,1.4%,0.2%,0.6%,6.4%,,34.0%,28.6%,24.7%,11.9%,0.8%
Chesham and Amersham,"99,100","39,300",,20.0%,8.4%,9.1%,20.3%,21.1%,21.1%,,84.2%,0.8%,4.9%,2.3%,5.8%,1.3%,0.6%,,74.7%,7.3%,12.1%,1.0%,3.5%,1.4%,,33.5%,48.5%,0.5%,4.4%,0.5%,4.2%,1.9%,0.6%,5.8%,,39.6%,35.1%,12.5%,12.0%,0.7%
Chester North and Neston,"94,200","41,600",,15.2%,12.5%,13.3%,18.0%,19.5%,21.6%,,89.7%,0.6%,4.8%,1.3%,2.6%,0.8%,0.2%,,87.6%,5.7%,3.0%,1.0%,1.8%,1.0%,,39.3%,51.1%,0.4%,0.7%,0.1%,1.8%,0.1%,0.5%,6.1%,,35.8%,27.2%,19.8%,16.2%,1.0%
Chester South and Eddisbury,"93,800","39,800",,17.1%,8.5%,9.2%,18.0%,22.9%,24.2%,,93.9%,0.5%,2.6%,0.9%,1.4%,0.5%,0.2%,,92.8%,3.4%,1.6%,0.5%,1.4%,0.4%,,34.4%,58.6%,0.2%,0.4%,0.1%,0.6%,0.1%,0.3%,5.3%,,43.2%,32.2%,13.9%,9.3%,1.5%
Chesterfield,"93,200","43,400",,16.9%,8.7%,12.5%,18.3%,21.7%,21.8%,,94.9%,0.3%,2.2%,0.7%,1.5%,0.3%,0.1%,,92.9%,2.5%,2.0%,0.8%,1.5%,0.4%,,44.2%,47.9%,0.3%,0.4%,0.0%,1.0%,0.2%,0.5%,5.6%,,35.9%,26.6%,16.4%,20.6%,0.5%
Chichester,"104,000","45,600",,15.4%,9.9%,11.2%,16.2%,20.4%,26.8%,,89.5%,0.4%,5.2%,1.3%,2.1%,1.0%,0.4%,,89.1%,5.9%,2.0%,0.7%,1.6%,0.6%,,39.8%,51.9%,0.5%,0.3%,0.2%,0.7%,0.0%,0.5%,6.1%,,42.9%,23.2%,18.0%,14.2%,1.7%
Chingford and Woodford Green,"111,000","42,500",,19.9%,9.6%,13.2%,22.2%,19.6%,15.6%,,72.5%,1.0%,12.7%,4.3%,6.8%,2.4%,0.3%,,48.9%,14.0%,14.8%,10.7%,6.4%,5.1%,,26.4%,46.2%,0.6%,3.0%,1.5%,13.3%,0.9%,1.3%,6.7%,,30.3%,33.7%,18.6%,16.3%,1.1%
Chippenham,"98,000","41,000",,17.7%,10.3%,12.5%,18.6%,21.4%,19.6%,,90.7%,0.3%,4.1%,1.4%,2.2%,0.8%,0.4%,,90.1%,4.0%,2.3%,1.1%,1.8%,0.6%,,44.3%,46.9%,0.4%,0.6%,0.1%,0.7%,0.1%,0.6%,6.2%,,35.5%,32.3%,16.4%,14.5%,1.4%
Chipping Barnet,"113,000","43,500",,20.1%,9.2%,12.3%,21.9%,19.5%,17.0%,,66.0%,1.4%,13.0%,5.8%,11.5%,1.9%,0.3%,,45.4%,18.0%,16.9%,6.3%,5.7%,7.8%,,23.5%,42.0%,0.9%,5.5%,9.7%,8.8%,0.4%,1.7%,7.4%,,32.0%,32.3%,23.3%,11.2%,1.1%
Chorley,"101,000","43,800",,18.7%,8.5%,12.4%,19.7%,20.9%,19.8%,,94.7%,0.4%,2.5%,0.7%,1.2%,0.4%,0.1%,,92.6%,2.8%,2.0%,0.6%,1.5%,0.5%,,31.7%,60.8%,0.2%,0.3%,0.0%,1.5%,0.1%,0.4%,5.0%,,35.4%,35.2%,14.4%,14.3%,0.7%
Christchurch,"88,100","40,000",,14.1%,7.2%,8.2%,14.8%,21.0%,34.6%,,93.2%,0.5%,2.8%,1.3%,1.3%,0.6%,0.3%,,93.3%,3.5%,1.2%,0.3%,1.3%,0.4%,,37.9%,54.1%,0.3%,0.2%,0.3%,0.4%,0.0%,0.5%,6.2%,,51.3%,25.6%,12.1%,10.1%,0.9%
Cities of London and Westminster,"120,000","59,200",,11.3%,14.4%,21.9%,21.0%,18.0%,13.3%,,43.2%,1.1%,22.3%,5.9%,18.0%,7.8%,1.6%,,31.4%,28.6%,17.8%,5.4%,6.1%,10.6%,,28.5%,38.3%,1.5%,3.0%,3.5%,14.4%,0.4%,0.9%,9.5%,,18.6%,11.0%,47.0%,22.5%,0.9%
City of Durham,"101,000","41,100",,14.5%,20.4%,10.9%,16.5%,18.5%,19.3%,,90.6%,0.2%,3.2%,1.0%,3.9%,0.9%,0.2%,,88.3%,4.0%,4.1%,0.7%,1.9%,1.0%,,39.2%,50.8%,0.4%,0.5%,0.1%,1.3%,0.1%,0.5%,6.8%,,35.3%,27.2%,18.3%,18.7%,0.4%
Clacton,"98,200","45,400",,15.1%,8.0%,9.5%,13.8%,21.7%,32.0%,,94.9%,0.7%,2.0%,0.7%,1.1%,0.4%,0.2%,,93.4%,2.7%,1.3%,0.6%,1.6%,0.4%,,41.9%,50.4%,0.3%,0.2%,0.2%,0.5%,0.0%,0.5%,6.0%,,49.4%,22.3%,20.2%,7.6%,0.5%
Clapham and Brixton Hill,"105,000","44,700",,13.9%,12.8%,30.5%,20.2%,15.0%,7.6%,,63.0%,1.6%,12.3%,8.3%,4.0%,8.7%,2.0%,,41.4%,17.2%,5.7%,22.9%,7.4%,5.3%,,39.8%,43.3%,0.7%,0.7%,0.5%,6.9%,0.2%,0.7%,7.3%,,11.1%,20.7%,32.8%,33.7%,1.7%
Clwyd East,"96,100","42,500",,16.4%,8.7%,10.0%,16.3%,23.0%,25.6%,,96.0%,0.3%,1.8%,0.5%,0.9%,0.3%,0.2%,,95.8%,2.1%,0.9%,0.2%,0.9%,0.3%,,40.3%,51.7%,0.3%,0.2%,0.0%,0.4%,0.0%,0.4%,6.6%,,43.8%,28.7%,14.8%,12.1%,0.6%
Clwyd North,"100,000","44,600",,17.8%,8.9%,10.9%,16.2%,21.0%,25.2%,,94.8%,0.5%,1.8%,0.5%,1.8%,0.3%,0.1%,,93.6%,2.3%,2.1%,0.3%,1.2%,0.4%,,42.6%,48.6%,0.3%,0.3%,0.1%,1.0%,0.1%,0.6%,6.5%,,38.5%,25.8%,20.9%,14.0%,0.8%
Colchester,"114,000","47,200",,20.1%,12.5%,15.6%,20.9%,16.6%,14.3%,,81.5%,0.5%,8.0%,2.8%,5.7%,1.1%,0.3%,,75.7%,7.8%,6.8%,4.3%,3.4%,1.9%,,45.7%,41.8%,0.8%,1.8%,0.2%,2.7%,0.1%,0.7%,6.2%,,26.8%,30.4%,26.7%,15.5%,0.6%
Colne Valley,"93,000","40,900",,18.2%,8.6%,11.6%,19.1%,22.1%,20.3%,,94.5%,0.5%,1.6%,0.8%,2.1%,0.5%,0.1%,,88.3%,2.4%,4.4%,1.3%,2.9%,0.8%,,44.6%,44.4%,0.2%,0.3%,0.0%,3.6%,0.6%,0.4%,5.7%,,39.0%,34.2%,17.4%,8.8%,0.6%
Congleton,"89,900","39,800",,17.2%,7.6%,11.1%,18.1%,21.6%,24.4%,,95.7%,0.4%,1.7%,0.7%,1.0%,0.4%,0.2%,,94.5%,2.4%,1.2%,0.3%,1.3%,0.3%,,38.1%,55.2%,0.3%,0.2%,0.1%,0.4%,0.1%,0.3%,5.2%,,42.5%,33.9%,11.5%,10.7%,1.5%
Corby and East Northamptonshire,"117,000","47,000",,20.0%,9.2%,13.4%,19.9%,20.2%,17.2%,,83.3%,0.6%,11.9%,1.9%,1.3%,1.0%,0.1%,,81.0%,12.1%,1.8%,2.5%,1.7%,0.8%,,42.3%,50.1%,0.3%,0.4%,0.1%,0.6%,0.3%,0.4%,5.5%,,30.6%,33.9%,18.0%,16.5%,1.1%
Coventry East,"118,000","46,400",,22.9%,11.0%,14.9%,20.6%,17.0%,13.6%,,69.4%,0.9%,11.0%,6.6%,11.2%,0.8%,0.1%,,50.4%,10.7%,20.7%,10.7%,3.6%,3.9%,,26.8%,44.4%,0.2%,3.7%,0.1%,13.4%,5.5%,0.5%,5.3%,,27.1%,25.8%,23.6%,22.6%,1.0%
Coventry North West,"107,000","44,300",,19.4%,11.4%,14.7%,19.7%,18.0%,16.8%,,78.5%,1.5%,8.3%,3.6%,7.2%,0.8%,0.1%,,65.4%,9.5%,13.0%,5.8%,3.1%,3.1%,,32.2%,47.0%,0.3%,2.9%,0.1%,7.3%,4.1%,0.5%,5.7%,,32.9%,30.3%,23.8%,12.2%,0.9%
Coventry South,"120,000","43,400",,17.1%,23.2%,13.9%,17.2%,15.0%,13.5%,,69.0%,1.0%,9.9%,6.0%,12.9%,1.0%,0.1%,,51.0%,10.4%,21.3%,9.9%,3.5%,4.0%,,30.1%,40.6%,0.6%,5.1%,0.1%,10.1%,5.4%,0.6%,7.4%,,30.3%,26.2%,27.1%,15.8%,0.7%
Cramlington and Killingworth,"96,600","44,000",,17.4%,8.4%,12.6%,19.4%,20.6%,21.5%,,96.2%,0.2%,1.4%,0.6%,1.3%,0.3%,0.1%,,95.0%,1.5%,1.7%,0.4%,1.1%,0.3%,,45.1%,48.2%,0.2%,0.4%,0.1%,0.7%,0.2%,0.4%,4.8%,,33.3%,34.0%,11.8%,19.9%,0.9%
Crawley,"118,000","45,500",,21.0%,9.9%,15.7%,22.4%,17.7%,13.3%,,73.2%,0.5%,11.0%,5.4%,8.4%,1.2%,0.2%,,61.8%,11.6%,15.4%,4.5%,4.1%,2.7%,,35.1%,42.6%,0.4%,5.1%,0.1%,9.7%,0.7%,0.5%,5.7%,,24.0%,31.7%,19.8%,22.9%,1.5%
Crewe and Nantwich,"110,000","47,600",,18.2%,9.1%,14.3%,19.6%,20.0%,18.9%,,86.4%,0.4%,8.8%,1.0%,2.9%,0.5%,0.1%,,84.0%,8.9%,3.0%,0.9%,2.0%,1.2%,,38.1%,53.7%,0.3%,0.5%,0.1%,1.3%,0.1%,0.4%,5.6%,,34.8%,30.4%,20.1%,13.6%,1.1%
Croydon East,"110,000","42,700",,20.5%,10.5%,13.8%,20.4%,19.8%,15.0%,,71.4%,0.8%,8.3%,8.0%,7.3%,3.9%,0.3%,,46.1%,9.1%,12.5%,21.6%,7.5%,3.1%,,29.1%,50.3%,0.5%,4.3%,0.2%,7.9%,0.3%,0.7%,6.6%,,27.4%,30.6%,19.5%,21.3%,1.2%
Croydon South,"101,000","39,700",,19.8%,8.5%,13.3%,21.9%,18.9%,17.6%,,74.2%,1.0%,7.1%,5.8%,8.8%,2.8%,0.4%,,53.7%,9.2%,16.4%,11.1%,6.9%,2.8%,,29.9%,48.1%,0.6%,6.8%,0.2%,6.6%,0.5%,0.8%,6.5%,,31.8%,37.6%,19.2%,9.8%,1.6%
Croydon West,"123,000","48,200",,21.8%,10.8%,17.8%,22.9%,17.4%,9.3%,,54.6%,0.6%,12.7%,10.9%,14.0%,6.9%,0.2%,,20.8%,12.4%,23.1%,30.6%,8.0%,5.0%,,20.2%,48.1%,0.7%,7.7%,0.1%,14.3%,0.4%,0.9%,7.3%,,15.3%,24.3%,36.3%,21.9%,2.1%
Dagenham and Rainham,"119,000","42,600",,23.6%,10.8%,14.4%,21.3%,17.3%,12.6%,,68.3%,0.7%,12.1%,8.4%,9.1%,1.3%,0.1%,,46.6%,11.4%,17.6%,17.5%,4.0%,2.9%,,24.6%,49.7%,0.3%,2.7%,0.2%,14.6%,1.8%,0.5%,5.5%,,24.7%,31.8%,19.4%,22.8%,1.3%
Darlington,"97,400","44,400",,18.4%,9.4%,12.7%,18.7%,20.8%,20.0%,,91.7%,0.2%,4.4%,0.8%,2.3%,0.4%,0.1%,,89.8%,4.3%,2.9%,0.7%,1.4%,0.9%,,40.1%,51.5%,0.3%,0.4%,0.0%,1.9%,0.4%,0.4%,4.9%,,32.2%,28.8%,21.4%,17.2%,0.5%
